worker_id,average_monthly_income,income_volatility,working_days_per_month,gig_duration_months,completion_rate,cancellation_rate,platform_rating,existing_monthly_obligations,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,loan_repaid
1,1096.42,0.359,21,12,0.27,0.163,4.04,309.83,1196.74,771.52,1440.57,1451.0,641.79,1006.7,1
2,2455.55,0.369,20,14,0.53,0.149,3.94,223.93,2169.04,531.94,1805.97,3789.03,1534.45,2288.44,1
3,1340.45,0.284,21,29,0.596,0.082,4.31,194.01,1390.16,1299.8,1741.66,1921.3,793.69,1111.6,1
4,1606.0,0.335,15,21,0.519,0.13,3.86,508.89,1754.79,1713.19,2342.52,1535.47,1890.8,1673.44,1
5,6859.84,0.298,22,19,0.596,0.128,4.24,645.04,2837.69,8949.48,7443.47,5509.87,5016.39,8267.34,1
6,3420.06,0.249,27,34,0.824,0.092,4.02,606.18,3587.44,2451.65,4464.82,2469.33,1836.37,2273.01,1
7,1894.58,0.351,20,16,0.599,0.136,3.83,436.71,1961.72,1953.42,989.87,1535.72,1627.9,2321.78,1
8,673.36,0.429,15,22,0.389,0.186,3.19,125.66,1180.01,999.21,512.12,811.0,351.8,943.01,1
9,1560.12,0.255,17,32,0.622,0.061,4.48,424.28,1507.66,1331.18,1635.58,1022.83,2141.4,1788.07,1
10,908.28,0.125,20,30,0.748,0.102,4.86,274.35,821.21,969.27,933.67,802.86,923.4,893.5,1
11,2189.62,0.448,20,12,0.37,0.205,4.06,478.16,2452.76,3755.24,3590.14,2740.63,748.69,2709.59,1
12,2537.51,0.303,22,31,0.672,0.137,3.63,738.94,2594.73,1104.17,1768.79,2039.97,2975.19,3537.46,1
13,1495.42,0.112,20,19,0.842,0.024,3.87,158.08,1473.5,1541.19,1405.29,1557.53,1509.69,1485.65,1
14,2771.92,0.307,11,15,0.494,0.192,4.2,464.01,1682.93,3762.06,2699.56,2078.58,2568.75,2792.02,1
15,4382.58,0.222,24,37,0.703,0.029,4.3,1632.14,4230.64,4041.03,3877.52,4662.86,5916.05,6459.4,1
16,1251.65,0.338,15,19,0.365,0.157,3.74,419.85,1006.84,1837.8,810.96,925.4,839.33,1381.52,1
17,1802.28,0.465,21,21,0.345,0.17,3.19,140.3,1620.9,2333.69,1402.99,208.63,2669.62,958.28,1
18,830.22,0.428,16,13,0.396,0.108,3.78,148.59,1090.36,1458.88,742.98,1169.87,684.71,1140.39,1
